cust_id,gender,age,region,city,signup_date
C000038,M,38,Northern Cape,Kimberley,2023-11-04
C000039,F,36,North West,Rustenburg,2020-06-30
C000040,F,19,North West,Rustenburg,2023-05-05
C000041,M,30,Northern Cape,Kimberley,2020-05-06
C000042,F,38,Limpopo,Polokwane,2020-11-26
C000043,X,52,North West,Rustenburg,2023-03-28
C000044,F,30,Limpopo,Polokwane,2022-01-11
C000045,M,40,Western Cape,Paarl,2023-09-18
C000046,M,44,Gauteng,Johannesburg,2023-04-28
C000047,F,31,Gauteng,Johannesburg,2023-06-13
C000048,F,47,Eastern Cape,Gqeberha,2019-11-20
C000049,M,47,Free State,Bloemfontein,2019-08-17
C000050,M,50,Limpopo,Polokwane,2020-06-27
C000051,F,39,Free State,Bloemfontein,2021-02-19
C000052,M,61,Eastern Cape,East London,2023-12-01
C000053,M,26,Mpumalanga,Nelspruit,2019-04-07
C000054,F,58,North West,Rustenburg,2022-03-29
C000055,F,42,KwaZulu-Natal,Pietermaritzburg,2023-09-18
C000056,F,49,KwaZulu-Natal,Pietermaritzburg,2021-03-06
C000057,F,29,Northern Cape,Kimberley,2020-11-13
C000058,F,43,Northern Cape,Kimberley,2020-03-23
C000059,F,50,KwaZulu-Natal,Pietermaritzburg,2021-07-30
C000060,M,20,Free State,Bloemfontein,2022-09-10
C000061,F,31,Limpopo,Polokwane,2022-06-21
C000062,M,16,Limpopo,Polokwane,2024-02-06
C000063,F,31,North West,Rustenburg,2019-01-02
C000064,F,23,Gauteng,Midrand,2020-10-02
C000065,M,30,Free State,Bloemfontein,2021-02-14
C000066,M,68,Western Cape,Cape Town,2021-05-07
C000067,F,54,Mpumalanga,Nelspruit,2023-05-12
C000068,F,16,Limpopo,Polokwane,2019-08-10
C000069,F,40,Mpumalanga,Nelspruit,2020-09-18
C000070,M,43,Northern Cape,Kimberley,2019-04-30
C000071,F,29,North West,Rustenburg,2022-06-03
C000072,F,35,North West,Rustenburg,2024-10-12
C000073,F,36,North West,Rustenburg,2024-11-10
C000074,M,17,Limpopo,Polokwane,2019-04-16
C000075,M,21,Eastern Cape,Gqeberha,2019-09-16
C000076,M,35,Eastern Cape,Gqeberha,2022-06-04
C000077,M,34,Eastern Cape,East London,2020-08-10
C000078,F,24,Limpopo,Polokwane,2020-05-21
C000079,F,23,North West,Rustenburg,2023-02-06
C000080,F,32,Eastern Cape,East London,2020-11-04
C000081,M,44,Limpopo,Polokwane,2022-08-03
C000082,M,32,Eastern Cape,Gqeberha,2019-03-27
C000083,M,52,Limpopo,Polokwane,2024-11-11
C000084,X,25,North West,Rustenburg,2019-07-05
C000085,X,35,Eastern Cape,East London,2019-03-17
C000086,M,29,Eastern Cape,Gqeberha,2021-07-03
C000087,F,40,Western Cape,Paarl,2024-04-06
C000088,F,24,Free State,Bloemfontein,2022-10-29
C000089,F,56,Free State,Bloemfontein,2021-12-05
C000090,M,16,Western Cape,Stellenbosch,2020-08-29
C000091,F,54,Northern Cape,Kimberley,2020-05-11
C000092,M,34,North West,Rustenburg,2022-12-01
C000093,M,40,KwaZulu-Natal,Durban,2022-01-07
C000094,M,49,Northern Cape,Kimberley,2022-09-04
C000095,F,43,KwaZulu-Natal,Durban,2021-06-21
C000096,F,24,Eastern Cape,East London,2020-10-20
C000097,F,40,Western Cape,Paarl,2020-01-28
C000098,M,55,Limpopo,Polokwane,2020-10-01
C000099,M,22,Free State,Bloemfontein,2020-04-25
C000100,M,58,KwaZulu-Natal,Durban,2021-12-04
C000101,F,38,KwaZulu-Natal,Durban,2020-09-23
C000102,F,28,Northern Cape,Kimberley,2023-10-09
C000103,F,22,Mpumalanga,Nelspruit,2022-04-24
C000104,M,30,Western Cape,Paarl,2020-10-31
C000105,M,16,Western Cape,Cape Town,2019-07-01
C000106,F,28,Gauteng,Soweto,2019-09-25
C000107,M,30,KwaZulu-Natal,Pietermaritzburg,2019-07-14
C000108,F,20,Mpumalanga,Nelspruit,2020-12-05
C000109,M,42,Gauteng,Pretoria,2020-12-27
C000110,F,30,KwaZulu-Natal,Durban,2019-04-18
C000111,F,25,Gauteng,Soweto,2023-03-29
C000112,M,29,Limpopo,Polokwane,2022-03-04
C000113,F,37,North West,Rustenburg,2024-11-12
C000114,F,34,Free State,Bloemfontein,2024-04-27
C000115,F,25,Northern Cape,Kimberley,2019-01-27
C000116,F,35,Mpumalanga,Nelspruit,2023-03-13
C000117,M,32,Mpumalanga,Nelspruit,2024-10-30
C000118,M,19,KwaZulu-Natal,Durban,2023-10-22
C000119,M,30,North West,Rustenburg,2023-02-11
C000120,F,40,Limpopo,Polokwane,2019-11-01
C000121,M,40,Gauteng,Johannesburg,2024-05-27
C000122,F,30,Gauteng,Midrand,2023-12-05
C000123,F,41,Northern Cape,Kimberley,2022-03-20
C000124,F,21,KwaZulu-Natal,Durban,2024-07-11
C000125,M,22,Free State,Bloemfontein,2021-10-10
C000126,M,30,Mpumalanga,Nelspruit,2022-03-13
C000127,M,51,Mpumalanga,Nelspruit,2023-09-16
C000128,M,35,Gauteng,Johannesburg,2023-04-27
C000129,M,30,Limpopo,Polokwane,2022-04-21
C000130,M,52,Northern Cape,Kimberley,2023-09-12
C000131,M,30,Eastern Cape,East London,2024-05-19
C000132,F,60,Free State,Bloemfontein,2022-11-21
C000133,F,27,KwaZulu-Natal,Pietermaritzburg,2024-05-09
C000134,F,21,Mpumalanga,Nelspruit,2021-06-19
C000135,M,31,Western Cape,Cape Town,2022-03-07
C000136,M,30,Free State,Bloemfontein,2022-11-21
C000137,M,23,Eastern Cape,Gqeberha,2022-06-10
C000138,F,64,Limpopo,Polokwane,2020-01-27
C000139,M,37,Free State,Bloemfontein,2021-09-26
C000140,F,39,Northern Cape,Kimberley,2019-10-22
C000141,F,27,Northern Cape,Kimberley,2023-02-18
C000142,F,26,KwaZulu-Natal,Durban,2023-10-16
C000143,F,45,Gauteng,Johannesburg,2023-02-03
C000144,M,16,Free State,Bloemfontein,2024-03-09
C000145,F,19,Limpopo,Polokwane,2022-11-25
C000146,M,30,Mpumalanga,Nelspruit,2021-04-10
C000147,F,49,Free State,Bloemfontein,2019-05-17
C000148,F,29,Limpopo,Polokwane,2019-03-14
C000149,M,38,Gauteng,Soweto,2024-10-11
C000150,F,33,Mpumalanga,Nelspruit,2023-09-03
C000151,X,49,KwaZulu-Natal,Durban,2021-01-04
C000152,M,16,Eastern Cape,East London,2024-09-23
C000153,M,42,Eastern Cape,East London,2020-06-23
C000154,F,31,Gauteng,Pretoria,2023-08-19
C000155,F,44,Free State,Bloemfontein,2020-04-07
C000156,M,23,Eastern Cape,East London,2023-04-04
C000157,F,33,KwaZulu-Natal,Pietermaritzburg,2019-06-01
C000158,F,32,KwaZulu-Natal,Durban,2023-02-04
C000159,F,21,Gauteng,Soweto,2021-09-27
C000160,M,18,North West,Rustenburg,2022-06-29
C000161,M,26,KwaZulu-Natal,Durban,2019-04-02
C000162,M,35,North West,Rustenburg,2021-03-20
C000163,M,24,North West,Rustenburg,2019-12-19
C000164,F,29,Free State,Bloemfontein,2022-09-12
C000165,M,16,North West,Rustenburg,2019-01-12
C000166,F,29,Western Cape,Paarl,2024-06-04
C000167,M,45,Western Cape,Paarl,2020-01-18
C000168,F,41,Northern Cape,Kimberley,2022-02-16
C000169,X,32,Limpopo,Polokwane,2024-12-19
C000170,F,36,Mpumalanga,Nelspruit,2021-06-16
C000171,F,23,Northern Cape,Kimberley,2022-03-31
C000172,F,52,Gauteng,Midrand,2024-10-02
C000173,F,58,Western Cape,Cape Town,2019-05-28
C000174,F,35,Northern Cape,Kimberley,2022-05-16
C000175,M,64,Western Cape,Paarl,2022-05-20
C000176,F,25,Free State,Bloemfontein,2023-05-04
C000177,M,18,Gauteng,Soweto,2022-08-08
C000178,F,24,KwaZulu-Natal,Pietermaritzburg,2021-11-17
C000179,M,30,Western Cape,Cape Town,2022-04-14
C000180,F,61,KwaZulu-Natal,Durban,2020-09-15
C000181,M,30,North West,Rustenburg,2021-01-05
C000182,M,23,KwaZulu-Natal,Durban,2024-09-11
C000183,F,22,North West,Rustenburg,2022-12-10
C000184,M,47,Northern Cape,Kimberley,2023-02-03
C000185,F,45,Free State,Bloemfontein,2019-11-09
C000186,F,27,Free State,Bloemfontein,2021-04-26
C000187,M,16,Eastern Cape,East London,2020-04-25
C000188,M,19,Mpumalanga,Nelspruit,2024-09-07
C000189,F,54,North West,Rustenburg,2024-12-18
C000190,F,41,North West,Rustenburg,2021-01-03
C000191,M,34,Western Cape,Cape Town,2021-06-29
C000192,M,55,Mpumalanga,Nelspruit,2023-02-09
C000193,X,56,Western Cape,Cape Town,2019-11-20
C000194,M,33,Free State,Bloemfontein,2022-05-14
C000195,M,33,Gauteng,Johannesburg,2020-04-20
C000196,F,26,Free State,Bloemfontein,2022-03-01
C000197,M,30,North West,Rustenburg,2023-05-05
C000198,F,16,North West,Rustenburg,2023-06-08
C000199,M,16,Mpumalanga,Nelspruit,2019-09-12
C000200,F,16,Limpopo,Polokwane,2020-09-26
C000201,M,46,Limpopo,Polokwane,2021-02-14
C000202,M,16,Gauteng,Midrand,2023-05-08
C000203,M,56,Mpumalanga,Nelspruit,2020-12-20
C000204,M,24,Mpumalanga,Nelspruit,2021-10-11
C000205,F,54,Western Cape,Stellenbosch,2020-05-14
C000206,M,29,Limpopo,Polokwane,2021-01-25
C000207,F,16,Eastern Cape,Gqeberha,2021-11-10
C000208,F,48,Free State,Bloemfontein,2020-04-05
C000209,F,50,North West,Rustenburg,2019-08-30
C000210,F,22,KwaZulu-Natal,Durban,2019-11-08
C000211,F,29,Northern Cape,Kimberley,2021-09-26
C000212,M,22,Eastern Cape,Gqeberha,2019-12-25
C000213,M,32,Free State,Bloemfontein,2019-03-13
C000214,M,34,Gauteng,Midrand,2023-12-31
C000215,F,29,Western Cape,Cape Town,2024-10-26
C000216,F,16,KwaZulu-Natal,Durban,2022-01-24
C000217,F,26,Northern Cape,Kimberley,2022-08-17
C000218,M,41,KwaZulu-Natal,Pietermaritzburg,2019-12-31
C000219,M,30,Eastern Cape,Gqeberha,2019-06-14
C000220,F,29,North West,Rustenburg,2019-06-24
C000221,M,22,KwaZulu-Natal,Durban,2020-02-22
C000222,F,26,North West,Rustenburg,2019-09-02
C000223,F,50,Western Cape,Stellenbosch,2023-06-01
C000224,F,19,Western Cape,Stellenbosch,2023-08-15
C000225,F,42,Gauteng,Johannesburg,2023-05-22
C000226,M,34,Western Cape,Cape Town,2020-09-21
C000227,M,36,Limpopo,Polokwane,2021-03-10
C000228,F,24,Gauteng,Johannesburg,2021-02-24
C000229,M,29,Limpopo,Polokwane,2019-11-22
C000230,M,33,Limpopo,Polokwane,2021-11-01
C000231,M,27,KwaZulu-Natal,Pietermaritzburg,2022-03-19
C000232,M,37,Gauteng,Johannesburg,2020-03-24
C000233,F,38,Western Cape,Stellenbosch,2020-08-28
C000234,M,59,Western Cape,Cape Town,2021-10-27
C000235,F,36,Free State,Bloemfontein,2019-08-01
C000236,X,16,Northern Cape,Kimberley,2022-07-13
C000237,F,47,Eastern Cape,East London,2021-01-27
C000238,M,31,Limpopo,Polokwane,2023-04-04
C000239,F,57,KwaZulu-Natal,Durban,2023-07-03
C000240,F,51,Gauteng,Midrand,2021-03-22
C000241,M,27,Western Cape,Cape Town,2021-02-14
C000242,M,42,Free State,Bloemfontein,2022-03-02
C000243,F,26,North West,Rustenburg,2019-03-31
C000244,M,33,KwaZulu-Natal,Durban,2020-02-26
C000245,M,41,Northern Cape,Kimberley,2019-09-21
C000246,F,46,Limpopo,Polokwane,2020-09-13
C000247,M,44,Eastern Cape,Gqeberha,2022-07-29
C000248,M,34,Limpopo,Polokwane,2020-06-19
C000249,M,63,Mpumalanga,Nelspruit,2022-02-17
C000250,F,29,Mpumalanga,Nelspruit,2023-02-24
C000251,F,16,North West,Rustenburg,2023-01-17
C000252,M,16,Limpopo,Polokwane,2022-03-08
C000253,M,51,Gauteng,Johannesburg,2022-06-06
C000254,M,32,Eastern Cape,Gqeberha,2021-08-26
C000255,X,35,Northern Cape,Kimberley,2021-12-24
C000256,M,26,Western Cape,Stellenbosch,2023-10-08
C000257,M,28,Free State,Bloemfontein,2021-11-06
C000258,M,24,Free State,Bloemfontein,2021-02-09
C000259,M,39,Limpopo,Polokwane,2024-10-06
C000260,F,32,North West,Rustenburg,2024-07-01
C000261,F,38,Free State,Bloemfontein,2024-03-03
C000262,M,37,Gauteng,Pretoria,2023-12-03
C000263,F,28,KwaZulu-Natal,Pietermaritzburg,2021-04-18
C000264,F,16,Limpopo,Polokwane,2024-10-02
C000265,M,16,North West,Rustenburg,2022-12-02
C000266,F,69,Limpopo,Polokwane,2024-05-04
C000267,F,51,Mpumalanga,Nelspruit,2019-02-14
C000268,M,49,KwaZulu-Natal,Durban,2019-08-23
C000269,M,25,Gauteng,Johannesburg,2019-02-15
C000270,F,33,Northern Cape,Kimberley,2024-12-23
C000271,F,23,Limpopo,Polokwane,2020-11-28
C000272,F,17,Mpumalanga,Nelspruit,2019-03-27
C000273,M,26,Northern Cape,Kimberley,2023-07-11
C000274,M,49,Western Cape,Stellenbosch,2023-09-30
C000275,F,43,North West,Rustenburg,2024-07-19
C000276,M,21,Eastern Cape,East London,2022-06-21
C000277,F,29,Limpopo,Polokwane,2023-02-04
C000278,F,42,Eastern Cape,Gqeberha,2022-09-15
C000279,X,26,Western Cape,Stellenbosch,2023-03-27
C000280,F,34,North West,Rustenburg,2022-02-06
C000281,F,38,Eastern Cape,East London,2019-03-12
C000282,F,38,Gauteng,Soweto,2020-01-02
C000283,M,36,Western Cape,Cape Town,2024-07-30
C000284,M,25,Northern Cape,Kimberley,2019-04-16
C000285,X,26,North West,Rustenburg,2019-07-10
C000286,F,19,Limpopo,Polokwane,2023-10-19
C000287,F,16,North West,Rustenburg,2024-09-04
C000288,M,32,Limpopo,Polokwane,2021-09-05
C000289,F,43,Northern Cape,Kimberley,2019-11-07
C000290,M,16,Gauteng,Pretoria,2022-07-12
C000291,M,36,Gauteng,Johannesburg,2019-03-15
C000292,F,42,Mpumalanga,Nelspruit,2021-02-28
C000293,M,16,Northern Cape,Kimberley,2022-05-19
C000294,F,30,Limpopo,Polokwane,2024-04-12
C000295,F,53,Northern Cape,Kimberley,2019-09-06
C000296,M,40,Eastern Cape,East London,2022-08-21
C000297,M,16,Mpumalanga,Nelspruit,2019-03-05
C000298,M,41,Free State,Bloemfontein,2021-10-15
C000299,M,24,North West,Rustenburg,2023-01-02
C000300,X,41,Limpopo,Polokwane,2019-03-20
C000301,X,25,Eastern Cape,East London,2023-06-05
C000302,M,32,KwaZulu-Natal,Durban,2024-11-28
C000303,F,27,KwaZulu-Natal,Durban,2020-10-03
C000304,M,33,Gauteng,Soweto,2023-07-17
C000305,X,26,Western Cape,Cape Town,2022-03-14
C000306,F,30,Free State,Bloemfontein,2024-07-03
C000307,F,19,Gauteng,Midrand,2022-07-07
C000308,F,39,Free State,Bloemfontein,2023-10-25
C000309,F,35,Gauteng,Midrand,2019-12-19
C000310,M,16,Western Cape,Cape Town,2020-07-13
C000311,F,45,Mpumalanga,Nelspruit,2021-08-21
C000312,M,31,Gauteng,Soweto,2024-06-01
C000313,M,35,Eastern Cape,Gqeberha,2022-10-26
C000314,M,42,Western Cape,Stellenbosch,2020-04-09
C000315,F,37,Gauteng,Soweto,2024-04-23
C000316,F,47,Western Cape,Cape Town,2022-09-16
C000317,M,29,Western Cape,Paarl,2021-07-06
C000318,M,45,Gauteng,Pretoria,2021-04-21
C000319,M,34,Limpopo,Polokwane,2023-03-12
C000320,M,39,Western Cape,Stellenbosch,2024-04-14
C000321,F,38,Northern Cape,Kimberley,2022-01-03
C000322,M,48,Free State,Bloemfontein,2024-01-23
C000323,F,42,Eastern Cape,Gqeberha,2023-03-29
C000324,F,28,North West,Rustenburg,2019-06-11
C000325,M,25,Mpumalanga,Nelspruit,2023-09-24
C000326,F,32,Eastern Cape,East London,2022-05-12
C000327,F,24,Northern Cape,Kimberley,2022-03-07
C000328,F,20,Free State,Bloemfontein,2022-09-04
C000329,F,16,Mpumalanga,Nelspruit,2019-05-14
C000330,M,16,Northern Cape,Kimberley,2024-06-10
C000331,F,57,Mpumalanga,Nelspruit,2024-04-01
C000332,M,25,Limpopo,Polokwane,2024-12-26
C000333,M,56,Limpopo,Polokwane,2022-08-09
C000334,F,38,Limpopo,Polokwane,2020-06-08
C000335,F,32,Northern Cape,Kimberley,2022-08-08
C000336,M,16,Mpumalanga,Nelspruit,2020-09-09
C000337,M,33,KwaZulu-Natal,Pietermaritzburg,2022-01-20
C000338,M,56,Gauteng,Midrand,2023-10-21
C000339,M,52,North West,Rustenburg,2020-01-16
C000340,F,36,Free State,Bloemfontein,2021-09-23
C000341,F,19,Eastern Cape,Gqeberha,2021-11-30
C000342,M,22,Northern Cape,Kimberley,2024-07-28
C000343,F,23,Western Cape,Stellenbosch,2022-03-21
C000344,M,48,Gauteng,Soweto,2021-01-16
C000345,M,53,Mpumalanga,Nelspruit,2021-04-20
C000346,M,35,Northern Cape,Kimberley,2020-10-26
C000347,F,29,North West,Rustenburg,2019-11-23
C000348,F,52,North West,Rustenburg,2023-04-05
C000349,F,21,North West,Rustenburg,2023-07-28
C000350,F,34,Mpumalanga,Nelspruit,2020-03-11
C000351,M,39,Northern Cape,Kimberley,2021-09-26
C000352,F,23,Eastern Cape,Gqeberha,2023-07-07
C000353,F,25,Mpumalanga,Nelspruit,2023-03-15
C000354,F,24,Gauteng,Midrand,2019-06-25
C000355,F,50,Free State,Bloemfontein,2019-04-13
C000356,M,56,KwaZulu-Natal,Pietermaritzburg,2019-06-05
C000357,F,34,Northern Cape,Kimberley,2022-01-09
C000358,X,30,Eastern Cape,East London,2024-06-24
C000359,F,26,Western Cape,Stellenbosch,2019-06-11
C000360,M,33,Limpopo,Polokwane,2023-03-16
C000361,F,26,Gauteng,Johannesburg,2023-05-26
C000362,F,32,Western Cape,Cape Town,2024-10-11
C000363,M,38,Eastern Cape,East London,2022-06-26
C000364,X,28,Limpopo,Polokwane,2024-09-22
C000365,M,31,Limpopo,Polokwane,2021-09-15
C000366,F,31,Gauteng,Midrand,2020-08-03
C000367,F,29,Mpumalanga,Nelspruit,2024-10-31
C000368,M,28,Gauteng,Soweto,2022-02-15
C000369,F,42,North West,Rustenburg,2020-12-14
C000370,M,16,Gauteng,Soweto,2022-11-09
C000371,M,52,Gauteng,Midrand,2021-07-15
C000372,M,35,Free State,Bloemfontein,2023-06-26
C000373,M,40,North West,Rustenburg,2023-06-04
C000374,M,42,Mpumalanga,Nelspruit,2019-02-11
C000375,F,25,Limpopo,Polokwane,2022-02-23
C000376,F,22,Western Cape,Paarl,2024-02-15
C000377,M,21,Northern Cape,Kimberley,2022-12-13
C000378,M,30,Gauteng,Midrand,2023-04-27
C000379,F,41,Eastern Cape,Gqeberha,2024-11-08
C000380,F,26,Mpumalanga,Nelspruit,2021-01-22
C000381,M,40,Limpopo,Polokwane,2023-03-04
C000382,M,16,North West,Rustenburg,2019-03-06
C000383,M,28,Mpumalanga,Nelspruit,2019-11-27
C000384,F,47,Northern Cape,Kimberley,2023-03-09
C000385,F,31,Free State,Bloemfontein,2020-04-03
C000386,M,23,North West,Rustenburg,2023-09-20
C000387,F,25,Western Cape,Paarl,2024-03-19
C000388,M,16,Western Cape,Cape Town,2024-05-11
C000389,M,21,Gauteng,Soweto,2019-04-16
C000390,F,46,Western Cape,Cape Town,2020-12-13
C000391,F,26,Western Cape,Cape Town,2022-01-20
C000392,F,27,North West,Rustenburg,2019-02-04
C000393,M,16,Free State,Bloemfontein,2024-06-07
C000394,M,16,Eastern Cape,Gqeberha,2024-10-15
C000395,F,47,Limpopo,Polokwane,2023-08-27
C000396,M,40,Eastern Cape,East London,2020-08-31
C000397,F,17,Limpopo,Polokwane,2019-09-11
C000398,F,25,Gauteng,Midrand,2023-12-16
C000399,M,33,Mpumalanga,Nelspruit,2023-06-10
C000400,F,19,North West,Rustenburg,2024-09-02
C000401,F,16,Gauteng,Soweto,2021-04-16
C000402,M,31,Gauteng,Soweto,2020-01-04
C000403,F,40,Western Cape,Paarl,2024-05-27
C000404,M,40,Limpopo,Polokwane,2019-08-24
C000405,F,44,Mpumalanga,Nelspruit,2022-06-08
C000406,F,16,North West,Rustenburg,2021-10-29
C000407,F,34,North West,Rustenburg,2022-04-16
C000408,F,30,Limpopo,Polokwane,2021-05-31
C000409,F,32,Mpumalanga,Nelspruit,2019-01-20
C000410,F,30,KwaZulu-Natal,Pietermaritzburg,2022-09-23
C000411,M,25,Mpumalanga,Nelspruit,2020-06-30
C000412,F,16,Western Cape,Stellenbosch,2019-09-14
C000413,F,47,Northern Cape,Kimberley,2021-06-22
C000414,F,37,Gauteng,Soweto,2020-09-28
C000415,F,16,Northern Cape,Kimberley,2023-05-05
C000416,F,39,Free State,Bloemfontein,2021-03-04
C000417,M,28,Limpopo,Polokwane,2022-02-12
C000418,F,28,Western Cape,Stellenbosch,2021-11-28
C000419,M,24,KwaZulu-Natal,Pietermaritzburg,2024-02-11
C000420,M,39,North West,Rustenburg,2019-08-14
C000421,F,23,Gauteng,Pretoria,2019-03-17
C000422,F,20,Western Cape,Paarl,2024-03-13
C000423,F,47,Limpopo,Polokwane,2020-12-08
C000424,M,31,North West,Rustenburg,2023-04-21
C000425,F,31,Eastern Cape,East London,2022-08-01
C000426,M,41,Gauteng,Midrand,2023-07-30
C000427,M,25,Western Cape,Cape Town,2022-12-13
C000428,M,27,Northern Cape,Kimberley,2020-06-19
C000429,M,37,Western Cape,Stellenbosch,2022-01-05
C000430,X,16,Limpopo,Polokwane,2020-11-01
C000431,F,36,Northern Cape,Kimberley,2021-05-23
C000432,F,24,Eastern Cape,East London,2022-04-08
C000433,F,43,Gauteng,Midrand,2019-06-06
C000434,M,40,North West,Rustenburg,2019-03-10
C000435,M,38,North West,Rustenburg,2023-03-05
C000436,M,16,Limpopo,Polokwane,2019-07-13
C000437,F,32,Northern Cape,Kimberley,2024-06-02
C000438,X,19,Mpumalanga,Nelspruit,2022-11-08
C000439,M,33,Mpumalanga,Nelspruit,2023-11-07
C000440,M,16,Eastern Cape,East London,2021-10-29
C000441,X,16,Gauteng,Midrand,2023-03-16
C000442,F,47,Mpumalanga,Nelspruit,2020-02-12
C000443,F,37,North West,Rustenburg,2022-10-20
C000444,M,29,Mpumalanga,Nelspruit,2020-11-11
C000445,F,22,Limpopo,Polokwane,2023-08-18
C000446,F,20,Mpumalanga,Nelspruit,2021-03-15
C000447,F,35,KwaZulu-Natal,Durban,2023-08-29
C000448,F,29,Western Cape,Paarl,2024-05-12
C000449,M,52,Limpopo,Polokwane,2019-01-16
C000450,M,31,Northern Cape,Kimberley,2019-05-17
C000451,F,34,Western Cape,Stellenbosch,2021-02-22
C000452,F,16,Gauteng,Soweto,2022-04-12
C000453,F,29,Mpumalanga,Nelspruit,2024-03-16
C000454,M,35,Eastern Cape,East London,2021-08-20
C000455,M,29,Northern Cape,Kimberley,2024-02-07
C000456,M,27,Free State,Bloemfontein,2023-05-17
C000457,F,37,Free State,Bloemfontein,2023-04-04
C000458,F,51,Gauteng,Midrand,2024-06-15
C000459,F,35,Northern Cape,Kimberley,2020-11-07
C000460,M,47,KwaZulu-Natal,Pietermaritzburg,2023-01-06
C000461,F,40,Eastern Cape,East London,2023-10-14
C000462,M,46,Limpopo,Polokwane,2024-10-21
C000463,M,26,North West,Rustenburg,2020-05-22
C000464,F,31,North West,Rustenburg,2023-09-20
C000465,F,31,Mpumalanga,Nelspruit,2020-05-05
C000466,F,40,Gauteng,Johannesburg,2024-10-07
C000467,F,43,Gauteng,Johannesburg,2022-03-19
C000468,F,35,North West,Rustenburg,2024-03-31
C000469,M,44,Northern Cape,Kimberley,2022-06-05
C000470,F,26,Limpopo,Polokwane,2019-06-15
C000471,F,44,Northern Cape,Kimberley,2021-02-08
C000472,M,45,KwaZulu-Natal,Pietermaritzburg,2022-08-26
C000473,M,41,Eastern Cape,Gqeberha,2022-08-15
C000474,F,35,Western Cape,Paarl,2022-04-19
C000475,M,42,North West,Rustenburg,2023-04-02
C000476,M,22,Mpumalanga,Nelspruit,2022-06-18
C000477,M,35,KwaZulu-Natal,Pietermaritzburg,2020-01-30
C000478,M,37,Northern Cape,Kimberley,2019-06-21
C000479,F,17,Gauteng,Pretoria,2020-09-24
C000480,M,39,Mpumalanga,Nelspruit,2019-10-29
C000481,F,18,Western Cape,Cape Town,2023-03-13
C000482,M,28,North West,Rustenburg,2024-11-10
C000483,M,33,Free State,Bloemfontein,2024-07-23
C000484,F,24,KwaZulu-Natal,Durban,2022-05-25
C000485,F,34,Gauteng,Midrand,2024-04-20
C000486,M,34,Limpopo,Polokwane,2022-12-11
C000487,M,23,Western Cape,Cape Town,2019-10-11
C000488,F,40,Free State,Bloemfontein,2022-07-08
C000489,M,24,Northern Cape,Kimberley,2022-06-01
C000490,M,60,North West,Rustenburg,2022-04-19
C000491,M,32,Free State,Bloemfontein,2023-10-19
C000492,F,19,Mpumalanga,Nelspruit,2024-11-29
C000493,F,21,North West,Rustenburg,2020-06-03
C000494,M,47,Limpopo,Polokwane,2019-02-07
C000495,F,28,Western Cape,Paarl,2022-11-09
C000496,M,17,North West,Rustenburg,2019-08-31
C000497,F,43,Gauteng,Johannesburg,2021-07-25
C000498,M,28,Free State,Bloemfontein,2024-08-03
C000499,F,41,North West,Rustenburg,2022-12-22
C000500,F,44,Limpopo,Polokwane,2024-08-15
C000501,M,36,Eastern Cape,Gqeberha,2019-03-12
C000502,M,62,Eastern Cape,Gqeberha,2023-03-28
C000503,M,16,Free State,Bloemfontein,2020-11-16
