txn_id,date,store_id,product_id,qty,unit_price,promo_applied,channel,payment_method,cust_id
T00000039,09/29/2025,S001,P00020,3,846.08,0,In-Store,Card,
T00000040,12/12/2025,S015,P00067,1,564.04,0,In-Store,Cash,
T00000041,07/27/2025,S023,P00291,1,105.05,0,Online,Card,C007881
T00000042,2025/07/26,S006,P00309,3,330.16,0,In-Store,Cash,C011212
T00000043,2025/03/21,S024,P00387,4,321.28,1,In-Store,Card,C001077
T00000044,2025/09/24,S020,P00332,3,437.31,0,In-Store,Card,
T00000045,27-06-2025,S002,P00111,4,2366.91,0,In-Store,Card,
T00000046,2025-01-17,S025,P00205,3,11.76,0,In-Store,Card,
T00000047,02/06/2025,S016,P00184,2,2101.94,1,In-Store,Card,C011678
T00000048,2025/06/02,S006,P00161,4,144.61,0,In-Store,EFT,C004315
T00000049,2025-02-03,S020,P00220,4,264.34,0,In-Store,Card,C006888
T00000050,12/14/2025,S021,P00359,3,1881.39,0,In-Store,Card,C001881
T00000051,2025/12/23,S016,P00092,2,874.53,0,In-Store,Cash,C002441
T00000052,30-06-2025,S025,P00221,2,1000.08,0,Click&Collect,Cash,C000470
T00000053,04/27/2025,S023,P00019,3,17.7,0,In-Store,Card,C009548
T00000054,2025/05/20,S008,P00206,2,20.27,0,In-Store,Cash,C007948
T00000055,2025/05/13,S004,P00028,4,1111.78,0,In-Store,Card,C004440
T00000056,05/11/2025,S021,P00342,1,81.05,1,In-Store,EFT,C007901
T00000057,11/15/2025,S024,P00149,4,120.54,0,In-Store,Card,C008075
T00000058,10/21/2025,S008,P00089,4,9.91,0,In-Store,Card,C007886
T00000059,2025-06-04,S014,P00083,2,20.84,0,Online,Card,C010270
T00000060,2025-08-10,S013,P00106,3,217.42,0,In-Store,Cash,C003535
T00000061,18-11-2025,S009,P00206,1,19.55,0,In-Store,Cash,
T00000062,20-11-2025,S014,P00136,2,100.35,0,In-Store,Cash,C009548
T00000063,14-04-2025,S014,P00026,2,113.13,0,In-Store,Card,C000332
T00000064,19-02-2025,S025,P00080,2,145.71,0,In-Store,Cash,C002304
T00000065,05/17/2025,S009,P00275,1,655.39,0,Online,Cash,C004714
T00000066,01/24/2025,S004,P00126,2,389.27,0,In-Store,EFT,C003840
T00000067,11/09/2025,S012,P00062,2,935.56,1,In-Store,EFT,C003844
T00000068,2025/09/07,S004,P00242,-2,499.35,0,In-Store,Card,
T00000069,02-06-2025,S004,P00014,3,339.46,0,In-Store,Card,
T00000070,02/28/2025,S016,P00252,4,110.1,0,In-Store,Card,
T00000071,2025/11/29,S022,P00101,2,1134.3,1,In-Store,Card,
T00000072,07/22/2025,S003,P00208,3,955.71,0,Online,Card,C005431
T00000073,2025-10-23,S010,P00275,1,673.31,0,Click&Collect,Card,
T00000074,05/22/2025,S005,P00178,2,80.45,0,In-Store,Card,C004374
T00000075,08-05-2025,S012,P00046,2,687.21,0,In-Store,Card,C002910
T00000076,2025/11/30,S015,P00285,2,1143.44,1,Online,Card,
T00000077,07/26/2025,S023,P00310,2,1270.38,0,In-Store,Card,C003152
T00000078,2025-01-02,S023,P00111,1,2141.01,0,Click&Collect,Cash,C006893
T00000079,2025-06-09,S023,P00251,3,339.44,0,In-Store,Card,C000232
T00000080,2025/04/01,S011,P00013,3,149.4,0,In-Store,EFT,C006339
T00000081,2025-02-02,S020,P00124,1,1240.42,0,In-Store,Card,
T00000082,2025-07-03,S008,P00336,1,120.99,0,In-Store,Cash,
T00000083,2025/08/07,S001,P00037,3,566.31,0,In-Store,Card,
T00000084,02-03-2025,S024,P00135,1,522.86,0,In-Store,Card,C000965
T00000085,2025/02/03,S023,P00364,1,260.61,0,In-Store,Cash,C005717
T00000086,2025/04/20,S005,P00188,2,756.17,0,In-Store,Card,C005477
T00000087,2025/09/18,S005,P00094,4,83.87,0,In-Store,Card,C002085
T00000088,12-11-2025,S023,P00290,1,188.04,0,Click&Collect,Cash,C002487
T00000089,15-01-2025,S011,P00254,4,1085.14,0,Online,Card,
T00000090,05/14/2025,S020,P00188,4,756.2,0,In-Store,Cash,C004404
T00000091,2025-08-27,S023,P00277,2,1686.74,0,In-Store,EFT,C001874
T00000092,13-09-2025,S014,P00315,1,457.53,0,In-Store,Card,C006898
T00000093,2025/10/04,S003,P00213,1,262.62,1,In-Store,Cash,C006933
T00000094,2025/02/13,S016,P00080,4,141.49,0,In-Store,Cash,C003335
T00000095,2025-04-08,S004,P00234,3,18.41,0,In-Store,Cash,C002358
T00000096,07/31/2025,S018,P00327,4,908.74,0,In-Store,Card,C002900
T00000097,2025/06/08,S015,P00119,4,140.64,0,In-Store,EFT,C004142
T00000098,28-03-2025,S011,P00021,2,50.92,0,In-Store,Card,C007398
T00000099,2025-05-01,S012,P00235,2,295.85,0,In-Store,Card,C003462
T00000100,03/03/2025,S025,P00140,4,415.17,0,In-Store,Card,C000548
T00000101,06/11/2025,S010,P00330,3,73.71,0,In-Store,Cash,C011269
T00000102,06/29/2025,S022,P00245,2,83.35,0,In-Store,Card,C009746
T00000103,09/07/2025,S021,P00311,2,110.86,0,In-Store,Card,C007724
T00000104,06/01/2025,S025,P00200,4,155.07,0,In-Store,Card,C006876
T00000105,12-11-2025,S023,P00090,3,1616.0,0,In-Store,EFT,C003012
T00000106,11/09/2025,S016,P00262,4,544.59,1,In-Store,Card,C002672
T00000107,2025/04/10,S025,P00314,4,67.77,0,Online,Cash,C009182
T00000108,19-12-2025,S018,P00094,4,93.97,0,In-Store,Cash,C005515
T00000109,22-06-2025,S004,P00272,2,528.49,0,In-Store,EFT,C010609
T00000110,02/24/2025,S003,P00389,1,94.36,0,In-Store,EFT,C005596
T00000111,20-08-2025,S017,P00175,1,2226.01,0,In-Store,Card,C002907
T00000112,03/27/2025,S014,P00107,4,1141.83,0,In-Store,Cash,C002792
T00000113,2025-09-25,S022,P00195,3,719.78,0,Online,Cash,C001148
T00000114,2025-06-29,S014,P00175,3,1455.81,1,In-Store,Card,C004035
T00000115,04-12-2025,S007,P00207,4,359.9,0,In-Store,Card,C011984
T00000116,09-08-2025,S022,P00271,2,410.59,0,In-Store,Cash,
T00000117,03/17/2025,S013,P00312,4,138.95,0,Online,Card,C007612
T00000118,2025/05/07,S024,P00295,4,175.3,0,Click&Collect,Card,C009935
T00000119,2025-02-27,S001,P00245,3,92.91,0,In-Store,Card,C000397
T00000120,08/17/2025,S001,P00269,3,1618.29,0,In-Store,Card,C009844
T00000121,02/02/2025,S004,P00340,4,86.63,1,Online,Card,C006223
T00000122,2025-01-07,S024,P00094,4,84.48,1,In-Store,Cash,C003408
T00000123,2025-10-13,S004,P00329,2,185.89,0,In-Store,Wallet,C001959
T00000124,2025-11-17,S018,P00068,4,1545.41,0,In-Store,Card,C006302
T00000125,08-12-2025,S018,P00366,1,246.25,1,In-Store,Card,
T00000126,05/26/2025,S022,P00219,3,1358.35,0,Online,Card,C001557
T00000127,07/08/2025,S016,P00350,1,134.67,0,Online,Card,
T00000128,2025/02/05,S001,P00382,1,7.31,0,In-Store,Card,C006692
T00000129,2025/06/10,S001,P00009,1,594.1,0,In-Store,Card,C008043
T00000130,2025/07/03,S001,P00218,4,670.59,1,In-Store,Cash,C005310
T00000131,09-05-2025,S015,P00146,2,809.44,0,In-Store,Card,C002223
T00000132,2025/10/05,S011,P00074,2,1447.09,0,In-Store,Card,
T00000133,09-02-2025,S002,P00150,4,77.85,0,In-Store,Card,C006206
T00000134,29-05-2025,S001,P00245,2,88.14,0,Online,Card,
T00000135,09-11-2025,S006,P00275,2,633.52,0,In-Store,Cash,
T00000136,12-06-2025,S012,P00036,1,106.1,0,In-Store,Wallet,C008053
T00000137,03/21/2025,S023,P00227,2,145.72,0,Online,Card,C009705
T00000138,07/16/2025,S021,P00244,3,1558.04,0,In-Store,Card,C002869
T00000139,09/12/2025,S012,P00397,2,698.59,1,In-Store,Card,C000889
T00000140,2025-11-02,S008,P00086,4,30.29,0,In-Store,Card,C006049
T00000141,2025/01/03,S020,P00248,4,382.28,0,In-Store,Card,C007755
T00000142,2025/06/11,S024,P00315,1,374.16,0,In-Store,Card,C008970
T00000143,2025-10-01,S008,P00227,2,121.73,0,In-Store,Card,C010972
T00000144,08/23/2025,S013,P00084,4,63.16,0,In-Store,Cash,C002834
T00000145,09/24/2025,S003,P00341,3,184.15,1,In-Store,Cash,
T00000146,22-12-2025,S004,P00054,3,454.06,1,In-Store,Card,C001875
T00000147,01-06-2025,S023,P00317,4,992.2,0,In-Store,Cash,C007208
T00000148,2025-04-20,S006,P00374,3,1179.14,0,Online,Card,C003862
T00000149,2025-02-06,S005,P00065,3,1189.7,0,In-Store,EFT,C009875
T00000150,2025/12/15,S008,P00249,3,233.86,0,In-Store,Card,C005478
T00000151,13-06-2025,S009,P00194,3,99.55,0,In-Store,Card,C005447
T00000152,2025-03-21,S006,P00291,4,82.73,1,In-Store,Card,C010262
T00000153,06/14/2025,S018,P00397,3,902.29,0,Online,Card,C010043
T00000154,09-02-2025,S015,P00094,1,95.87,0,In-Store,Card,C002477
T00000155,2025/08/22,S015,P00284,3,361.93,1,In-Store,Card,C006552
T00000156,2025/01/22,S025,P00374,4,1329.95,0,Online,Card,C002222
T00000157,2025-03-04,S024,P00010,3,1484.3,0,Online,Card,C002558
T00000158,01/06/2025,S008,P00324,1,75.63,0,Online,Card,C001888
T00000159,07/09/2025,S025,P00025,3,255.63,0,In-Store,EFT,C004733
T00000160,07/12/2025,S017,P00068,3,1678.33,1,Click&Collect,Card,C007262
T00000161,25-11-2025,S004,P00293,3,277.15,0,In-Store,Card,C008339
T00000162,20-10-2025,S008,P00356,3,1034.09,0,Click&Collect,Card,C003161
T00000163,20-02-2025,S006,P00310,4,1137.12,0,In-Store,Card,C001891
T00000164,24-01-2025,S020,P00076,3,1670.33,0,In-Store,Cash,C004697
T00000165,03/30/2025,S016,P00328,4,2306.01,0,In-Store,Card,C008396
T00000166,2025-01-12,S020,P00116,4,208.69,0,In-Store,Card,C001474
T00000167,02/23/2025,S004,P00118,1,246.14,0,In-Store,EFT,C010466
T00000168,04/21/2025,S013,P00317,1,1036.01,0,In-Store,Card,C006067
T00000169,02/14/2025,S014,P00323,4,40.16,0,In-Store,Card,
T00000170,2025/03/19,S018,P00317,3,821.83,0,In-Store,EFT,C001542
T00000171,2025-01-07,S010,P00397,1,922.18,0,In-Store,Card,C001136
T00000172,2025-02-07,S002,P00099,3,1167.76,0,In-Store,Cash,
T00000173,04/06/2025,S023,P00231,2,470.0,0,In-Store,Cash,C009503
T00000174,2025/12/14,S011,P00228,2,53.17,1,Click&Collect,Card,C003553
T00000175,2025-08-03,S023,P00240,1,80.62,0,Online,Cash,C005896
T00000176,29-08-2025,S011,P00396,2,33.0,0,In-Store,Card,C003058
T00000177,01-11-2025,S007,P00098,2,1913.94,1,Online,Cash,C008009
T00000178,2025-11-09,S012,P00074,2,1343.81,0,In-Store,Card,C009415
T00000179,2025/02/05,S003,P00087,2,668.52,0,In-Store,Card,C004689
T00000180,04/14/2025,S014,P00039,1,93.84,0,Online,Card,C002049
T00000181,2025/02/06,S025,P00004,4,657.74,0,In-Store,Cash,C008141
T00000182,2025/12/01,S007,P00125,1,48.2,0,In-Store,Cash,C007652
T00000183,23-09-2025,S004,P00087,3,794.82,0,In-Store,Card,
T00000184,03-09-2025,S004,P00380,3,2416.08,0,In-Store,Card,C005801
T00000185,08-03-2025,S005,P00061,2,1904.29,0,In-Store,Card,C003599
T00000186,06/08/2025,S010,P00130,3,97.64,0,In-Store,Cash,C010366
T00000187,10/22/2025,S007,P00266,3,59.09,0,In-Store,Card,C002224
T00000188,2025-07-28,S018,P00257,4,227.29,0,In-Store,Card,C008903
T00000189,2025-02-07,S009,P00017,3,1491.34,0,In-Store,Card,C003759
T00000190,2025/06/12,S010,P00207,2,394.9,0,In-Store,EFT,C009125
T00000191,2025/09/01,S004,P00388,4,476.4,0,In-Store,Card,C003576
T00000192,03/08/2025,S015,P00083,3,18.08,0,Online,Cash,C007050
T00000193,2025/12/10,S009,P00368,1,24.81,0,In-Store,Card,C007449
T00000194,15-11-2025,S018,P00341,1,242.73,0,Online,EFT,C005897
T00000195,25-08-2025,S001,P00127,4,506.69,0,In-Store,Card,C003455
T00000196,08/08/2025,S017,P00155,2,1663.57,0,In-Store,Card,C009103
T00000197,24-12-2025,S021,P00365,1,39.46,0,In-Store,Card,C006579
T00000198,06/15/2025,S018,P00232,3,1892.33,0,In-Store,Card,C008746
T00000199,18-07-2025,S007,P00192,2,101.95,0,In-Store,Card,
T00000200,2025-06-30,S018,P00196,1,231.68,0,Click&Collect,Card,
T00000201,2025-12-27,S021,P00344,2,611.19,1,In-Store,Card,C006176
T00000202,10/15/2025,S014,P00055,4,90.64,0,In-Store,Cash,C006667
T00000203,01-04-2025,S017,P00276,4,865.84,0,Online,Card,C004682
T00000204,2025/08/01,S021,P00016,3,353.96,0,Online,Cash,C010594
T00000205,07/10/2025,S013,P00038,1,190.26,0,Online,Card,C008578
T00000206,05-12-2025,S004,P00060,2,124.05,0,In-Store,Cash,C000297
T00000207,22-09-2025,S025,P00286,2,33.71,0,In-Store,Cash,C010568
T00000208,2025/04/05,S009,P00341,3,230.21,0,In-Store,Cash,C007009
T00000209,2025/12/24,S010,P00256,2,74.62,0,In-Store,Card,
T00000210,12/05/2025,S016,P00162,2,1161.04,0,In-Store,EFT,C000364
T00000211,2025/10/19,S005,P00323,1,36.04,0,In-Store,Card,C005283
T00000212,2025-11-12,S009,P00112,1,1404.84,0,In-Store,Card,C002376
T00000213,02-12-2025,S015,P00307,1,342.82,0,In-Store,Card,
T00000214,10-01-2025,S019,P00264,1,152.89,1,In-Store,Card,C006138
T00000215,02-02-2025,S004,P00293,2,345.65,0,Online,Card,C010606
T00000216,28-01-2025,S021,P00111,4,2060.45,1,Online,EFT,
T00000217,07/17/2025,S007,P00259,4,1392.95,0,In-Store,Cash,C007181
T00000218,20-08-2025,S023,P00074,1,1286.45,1,In-Store,Card,C008117
T00000219,04-09-2025,S023,P00344,4,560.29,1,In-Store,Card,C002597
T00000220,2025-10-31,S018,P00036,3,116.34,0,In-Store,Card,
T00000221,07/09/2025,S023,P00312,2,135.11,0,In-Store,Cash,C003436
T00000222,16-10-2025,S004,P00240,3,88.37,0,Click&Collect,Cash,C000406
T00000223,01-10-2025,S012,P00295,4,215.74,0,In-Store,Card,
T00000224,25-09-2025,S004,P00028,3,1247.27,0,In-Store,Card,C006652
T00000225,2025/03/26,S012,P00050,1,613.58,0,In-Store,Card,C010184
T00000226,11/19/2025,S015,P00132,2,129.84,1,In-Store,Card,
T00000227,11/11/2025,S015,P00389,1,92.78,0,In-Store,Card,C003664
T00000228,2025-09-19,S002,P00184,2,2784.61,0,In-Store,Card,C011125
T00000229,2025/12/09,S003,P00351,2,775.94,0,In-Store,Card,
T00000230,10/14/2025,S025,P00125,4,45.72,0,Online,Card,C004430
T00000231,21-07-2025,S007,P00215,2,99.11,0,In-Store,Cash,C007448
T00000232,2025-04-14,S013,P00174,1,1890.12,0,In-Store,EFT,C007240
T00000233,10/05/2025,S015,P00361,2,329.38,0,Online,Cash,C010551
T00000234,04-07-2025,S004,P00161,3,131.61,0,Online,EFT,C001479
T00000235,03/09/2025,S009,P00216,4,660.96,0,Online,Card,
T00000236,2025-02-03,S016,P00119,2,135.95,0,In-Store,Cash,C008588
T00000237,28-03-2025,S006,P00221,3,961.34,1,In-Store,Cash,C002003
T00000238,16-07-2025,S020,P00234,4,14.74,1,Online,Card,C007513
T00000239,10-09-2025,S017,P00337,2,33.81,0,In-Store,Card,C007207
T00000240,2025-05-13,S025,P00216,2,687.26,0,In-Store,Card,C001289
T00000241,2025/04/02,S015,P00155,1,1474.9,0,In-Store,Card,C002685
T00000242,2025-04-22,S021,P00242,3,452.29,0,Online,Card,C006749
T00000243,2025-01-25,S009,P00288,1,16.32,1,In-Store,Card,C003172
T00000244,12-02-2025,S018,P00120,1,74.45,0,In-Store,Cash,C005868
T00000245,2025/12/29,S024,P00322,1,819.56,1,In-Store,Card,C008252
T00000246,10/23/2025,S021,P00146,1,642.29,1,In-Store,Card,C007720
T00000247,2025/07/04,S020,P00360,2,435.14,0,Online,Card,C001053
T00000248,2025-10-29,S012,P00148,2,1356.98,0,In-Store,Card,C007357
T00000249,2025-05-31,S015,P00251,1,332.55,0,In-Store,Card,C005349
T00000250,22-06-2025,S015,P00123,3,42.08,0,In-Store,Card,C004313
T00000251,03-05-2025,S006,P00116,1,228.17,0,In-Store,Cash,
T00000252,2025/03/19,S007,P00048,3,1241.57,0,In-Store,Card,C010238
T00000253,2025-02-13,S017,P00313,1,433.53,0,In-Store,Card,C010714
T00000254,11/18/2025,S016,P00189,1,177.14,0,Online,Wallet,C005202
T00000255,2025/04/04,S018,P00037,4,398.67,1,In-Store,Card,
T00000256,2025/09/10,S016,P00102,3,105.29,0,In-Store,Card,C000892
T00000257,2025/12/24,S015,P00260,3,71.13,1,In-Store,Card,C008561
T00000258,04-07-2025,S013,P00293,3,287.41,0,Online,Cash,C006003
T00000259,2025/11/09,S016,P00284,2,477.95,0,In-Store,Card,C008689
T00000260,11/24/2025,S010,P00378,1,336.01,0,Online,Card,C001381
T00000261,07/22/2025,S005,P00351,2,760.77,0,In-Store,Cash,
T00000262,2025-09-26,S017,P00152,4,121.09,0,In-Store,Card,C004252
T00000263,01/15/2025,S009,P00159,4,640.59,0,In-Store,Card,C010151
T00000264,19-07-2025,S019,P00094,4,87.17,0,In-Store,Card,C003511
T00000265,19-03-2025,S023,P00302,2,183.23,0,In-Store,Card,
T00000266,04/03/2025,S010,P00291,2,110.86,0,In-Store,Cash,C006974
T00000267,2025/03/23,S004,P00226,2,572.37,0,In-Store,Card,C002546
T00000268,2025/11/23,S001,P00287,2,113.74,0,Online,Card,C006385
T00000269,10/26/2025,S015,P00252,1,125.22,0,Click&Collect,Cash,
T00000270,06/28/2025,S023,P00322,1,804.22,1,In-Store,Card,C003873
T00000271,16-08-2025,S023,P00274,4,799.18,0,In-Store,Card,C004008
T00000272,10-07-2025,S023,P00231,2,424.11,0,In-Store,Card,C006024
T00000273,2025/01/03,S001,P00063,2,335.3,0,Online,Card,C008803
T00000274,01/08/2025,S002,P00204,1,285.55,0,In-Store,Card,C011048
T00000275,17-04-2025,S025,P00296,3,12.15,0,In-Store,Card,C006975
T00000276,02/02/2025,S017,P00389,3,105.43,0,Online,Card,C006812
T00000277,2025-12-11,S023,P00039,1,93.94,0,In-Store,Card,C009181
T00000278,2025-07-07,S025,P00100,3,498.75,0,Click&Collect,Card,
T00000279,26-04-2025,S018,P00390,2,398.57,0,In-Store,Card,C010936
T00000280,14-02-2025,S011,P00395,2,2043.87,0,In-Store,Card,C001386
T00000281,2025-12-12,S018,P00057,1,736.27,0,In-Store,Card,C000570
T00000282,2025-07-04,S016,P00114,4,1956.97,0,Online,EFT,
T00000283,2025/08/16,S022,P00395,3,1795.83,0,In-Store,Card,C006248
T00000284,06-12-2025,S022,P00030,1,1306.46,0,In-Store,Card,C007516
T00000285,04/02/2025,S005,P00101,-3,1347.46,0,In-Store,Card,C006962
T00000286,2025/12/09,S023,P00369,2,1326.73,0,In-Store,EFT,
T00000287,2025/12/30,S018,P00164,3,279.75,0,In-Store,Card,C004277
T00000288,2025-08-21,S019,P00331,4,130.32,0,In-Store,Cash,C005604
T00000289,2025/03/05,S009,P00229,1,319.93,0,In-Store,Card,C011488
T00000290,2025-08-20,S013,P00113,2,2441.63,0,In-Store,Card,C002706
T00000291,2025-08-21,S022,P00192,3,128.96,0,In-Store,Card,C003862
T00000292,2025-03-30,S004,P00242,2,461.47,0,Online,EFT,C001273
T00000293,06-01-2025,S014,P00283,1,576.57,0,In-Store,Cash,C000641
T00000294,09-07-2025,S025,P00199,1,1400.91,0,Click&Collect,Card,C011038
T00000295,01/27/2025,S020,P00271,1,362.35,0,In-Store,Card,
T00000296,2025/07/23,S004,P00055,2,80.65,0,In-Store,Card,
T00000297,2025/07/20,S005,P00147,4,188.64,0,Online,Card,C001627
T00000298,2025-08-31,S013,P00303,2,17.5,1,In-Store,Card,C008354
T00000299,09-11-2025,S007,P00307,3,348.14,0,In-Store,Card,C010313
T00000300,10/27/2025,S023,P00326,4,716.57,0,Online,EFT,C006756
T00000301,2025/06/23,S021,P00196,3,181.45,1,Online,Card,C009321
T00000302,2025/03/26,S024,P00230,2,495.19,0,In-Store,Card,C011254
T00000303,22-10-2025,S010,P00248,1,389.84,0,Online,Card,C008509
T00000304,03/13/2025,S008,P00040,4,236.54,0,In-Store,Card,C001883
T00000305,04-06-2025,S014,P00283,1,532.15,1,In-Store,Card,C005377
T00000306,09-01-2025,S003,P00089,4,10.22,0,In-Store,Card,C008578
T00000307,2025/05/22,S019,P00247,4,2356.47,0,In-Store,Card,
T00000308,07/11/2025,S022,P00346,4,1254.62,0,In-Store,Wallet,C001278
T00000309,2025/02/22,S005,P00032,1,243.8,0,Online,Cash,C000854
T00000310,15-07-2025,S005,P00138,3,101.1,0,Click&Collect,Card,C000134
T00000311,2025/04/19,S008,P00303,3,20.86,0,In-Store,Cash,C010586
T00000312,01-01-2025,S021,P00042,3,1090.73,0,In-Store,Wallet,C003868
T00000313,2025/09/21,S009,P00191,4,2424.82,0,In-Store,EFT,C008310
T00000314,30-06-2025,S019,P00295,3,169.7,0,In-Store,Card,
T00000315,2025-04-10,S023,P00053,4,1270.06,0,Click&Collect,Card,
T00000316,2025/08/05,S011,P00388,3,391.87,0,In-Store,Card,C002940
T00000317,2025/12/05,S004,P00077,2,303.26,0,In-Store,Card,
T00000318,2025-12-10,S023,P00283,3,561.48,0,In-Store,EFT,C005338
T00000319,13-07-2025,S010,P00090,1,1609.43,0,In-Store,Card,
T00000320,2025/09/25,S015,P00162,2,1123.51,0,In-Store,Cash,C001303
T00000321,20-06-2025,S024,P00355,2,2225.29,1,In-Store,Cash,C007254
T00000322,14-09-2025,S023,P00397,4,849.45,0,Click&Collect,Card,C010373
T00000323,2025-06-16,S021,P00242,3,477.84,0,In-Store,Card,C008750
T00000324,23-05-2025,S009,P00081,1,149.02,0,Click&Collect,Card,C009724
T00000325,2025-08-22,S017,P00023,3,1039.75,1,Online,Card,C006635
T00000326,14-06-2025,S009,P00278,2,115.13,0,In-Store,Card,C009999
T00000327,30-12-2025,S014,P00321,3,66.1,0,In-Store,Card,C001059
T00000328,04/25/2025,S009,P00155,1,1321.69,0,In-Store,Card,C004973
T00000329,2025/03/05,S021,P00279,2,394.37,0,Online,Card,C003374
T00000330,2025/07/02,S019,P00086,3,26.56,0,Online,Card,C002444
T00000331,2025/10/28,S024,P00206,3,20.44,0,In-Store,Card,C009280
T00000332,2025/04/12,S007,P00043,2,29.03,0,In-Store,Card,C000434
T00000333,08-04-2025,S024,P00331,2,152.32,0,In-Store,Card,
T00000334,2025-04-06,S007,P00338,3,200.01,1,In-Store,Wallet,
T00000335,2025-04-14,S016,P00308,4,487.13,0,Click&Collect,Card,C004794
T00000336,07-12-2025,S005,P00005,1,10.09,0,Online,Cash,C009181
T00000337,07/22/2025,S019,P00202,1,1753.59,0,In-Store,Cash,
T00000338,2025-10-08,S020,P00192,4,104.42,0,In-Store,Wallet,C007522
T00000339,2025-03-26,S020,P00295,2,197.89,1,In-Store,Card,C003200
T00000340,2025/12/22,S007,P00303,3,15.16,0,In-Store,Cash,C008003
T00000341,2025-04-01,S021,P00010,4,1726.94,0,Online,Card,
T00000342,22-09-2025,S004,P00365,1,40.44,0,In-Store,Card,C011818
T00000343,2025/03/26,S019,P00202,4,1331.8,1,In-Store,Card,C000831
T00000344,06/13/2025,S012,P00036,1,113.73,0,In-Store,EFT,C005890
T00000345,06/24/2025,S005,P00148,2,1275.93,0,In-Store,Card,C003628
T00000346,03/29/2025,S025,P00289,1,93.88,0,Online,Card,C008698
T00000347,11-02-2025,S019,P00093,2,33.41,0,In-Store,Cash,C004517
T00000348,2025/03/16,S004,P00206,2,16.34,1,Click&Collect,Card,
T00000349,02/20/2025,S010,P00185,3,170.93,0,Online,Card,C002740
T00000350,2025-04-09,S019,P00144,4,1032.65,0,In-Store,Card,C005581
T00000351,25-04-2025,S005,P00157,4,41.3,0,In-Store,Card,C010375
T00000352,02-04-2025,S012,P00224,1,126.69,0,In-Store,Card,C011523
T00000353,2025-12-07,S003,P00074,3,1453.38,0,In-Store,Cash,
T00000354,14-09-2025,S001,P00265,2,143.45,0,In-Store,EFT,C006102
T00000355,11/01/2025,S007,P00400,4,566.19,0,Online,Card,C004346
T00000356,08/02/2025,S018,P00301,1,667.56,0,Online,Card,C010255
T00000357,2025/06/14,S013,P00021,4,34.59,1,Online,Card,C011296
T00000358,03-03-2025,S008,P00167,4,579.16,0,Online,Card,
