txn_id,date,store_id,product_id,qty,unit_price,promo_applied,channel,payment_method,cust_id,gender,age,cust_region,cust_city,revenue
T00000204,2025-08-01,S021,P00016,3,353.96,0,Online,Cash,C010594,F,37.0,Northern Cape,Kimberley,1061.88
T00000208,2025-04-05,S009,P00341,3,230.21,0,In-Store,Cash,C007009,M,42.0,Mpumalanga,Nelspruit,690.63
T00000209,2025-12-24,S010,P00256,2,74.62,0,In-Store,Card,,,,,,149.24
T00000211,2025-10-19,S005,P00323,1,36.04,0,In-Store,Card,C005283,F,46.0,North West,Rustenburg,36.04
T00000225,2025-03-26,S012,P00050,1,613.58,0,In-Store,Card,C010184,F,20.0,Mpumalanga,Nelspruit,613.58
T00000229,2025-12-09,S003,P00351,2,775.94,0,In-Store,Card,,,,,,1551.88
T00000241,2025-04-02,S015,P00155,1,1474.9,0,In-Store,Card,C002685,M,27.0,KwaZulu-Natal,Durban,1474.9
T00000245,2025-12-29,S024,P00322,1,819.56,1,In-Store,Card,C008252,F,35.0,Free State,Bloemfontein,819.56
T00000247,2025-07-04,S020,P00360,2,435.14,0,Online,Card,C001053,F,26.0,Limpopo,Polokwane,870.28
T00000252,2025-03-19,S007,P00048,3,1241.57,0,In-Store,Card,C010238,F,27.0,Western Cape,Stellenbosch,3724.71
T00000255,2025-04-04,S018,P00037,4,398.67,1,In-Store,Card,,,,,,1594.68
T00000256,2025-09-10,S016,P00102,3,105.29,0,In-Store,Card,C000892,F,49.0,KwaZulu-Natal,Pietermaritzburg,315.87
T00000257,2025-12-24,S015,P00260,3,71.13,1,In-Store,Card,C008561,M,16.0,KwaZulu-Natal,Durban,213.39
T00000259,2025-11-09,S016,P00284,2,477.95,0,In-Store,Card,C008689,F,27.0,North West,Rustenburg,955.9
T00000267,2025-03-23,S004,P00226,2,572.37,0,In-Store,Card,C002546,F,26.0,KwaZulu-Natal,Pietermaritzburg,1144.74
T00000268,2025-11-23,S001,P00287,2,113.74,0,Online,Card,C006385,M,18.0,North West,Rustenburg,227.48
T00000273,2025-01-03,S001,P00063,2,335.3,0,Online,Card,C008803,F,46.0,Western Cape,Stellenbosch,670.6
T00000283,2025-08-16,S022,P00395,3,1795.83,0,In-Store,Card,C006248,X,34.0,Limpopo,Polokwane,5387.49
T00000286,2025-12-09,S023,P00369,2,1326.73,0,In-Store,EFT,,,,,,2653.46
T00000287,2025-12-30,S018,P00164,3,279.75,0,In-Store,Card,C004277,F,31.0,Western Cape,Cape Town,839.25
T00000289,2025-03-05,S009,P00229,1,319.93,0,In-Store,Card,C011488,M,32.0,Free State,Bloemfontein,319.93
T00000296,2025-07-23,S004,P00055,2,80.65,0,In-Store,Card,,,,,,161.3
T00000297,2025-07-20,S005,P00147,4,188.64,0,Online,Card,C001627,M,30.0,Free State,Bloemfontein,754.56
T00000301,2025-06-23,S021,P00196,3,181.45,1,Online,Card,C009321,F,43.0,Gauteng,Midrand,544.35
T00000302,2025-03-26,S024,P00230,2,495.19,0,In-Store,Card,C011254,M,36.0,Gauteng,Soweto,990.38
T00000307,2025-05-22,S019,P00247,4,2356.47,0,In-Store,Card,,,,,,9425.88
T00000309,2025-02-22,S005,P00032,1,243.8,0,Online,Cash,C000854,F,51.0,Gauteng,Soweto,243.8
T00000311,2025-04-19,S008,P00303,3,20.86,0,In-Store,Cash,C010586,M,39.0,Limpopo,Polokwane,62.58
T00000313,2025-09-21,S009,P00191,4,2424.82,0,In-Store,EFT,C008310,F,43.0,Limpopo,Polokwane,9699.28
T00000316,2025-08-05,S011,P00388,3,391.87,0,In-Store,Card,C002940,M,21.0,Free State,Bloemfontein,1175.61
T00000317,2025-12-05,S004,P00077,2,303.26,0,In-Store,Card,,,,,,606.52
T00000320,2025-09-25,S015,P00162,2,1123.51,0,In-Store,Cash,C001303,X,51.0,Mpumalanga,Nelspruit,2247.02
T00000329,2025-03-05,S021,P00279,2,394.37,0,Online,Card,C003374,M,32.0,Free State,Bloemfontein,788.74
T00000330,2025-07-02,S019,P00086,3,26.56,0,Online,Card,C002444,M,24.0,Gauteng,Midrand,79.68
T00000331,2025-10-28,S024,P00206,3,20.44,0,In-Store,Card,C009280,F,16.0,Northern Cape,Kimberley,61.32
T00000332,2025-04-12,S007,P00043,2,29.03,0,In-Store,Card,C000434,M,40.0,North West,Rustenburg,58.06
T00000340,2025-12-22,S007,P00303,3,15.16,0,In-Store,Cash,C008003,F,31.0,Northern Cape,Kimberley,45.48
T00000343,2025-03-26,S019,P00202,4,1331.8,1,In-Store,Card,C000831,F,21.0,KwaZulu-Natal,Pietermaritzburg,5327.2
T00000348,2025-03-16,S004,P00206,2,16.34,1,Click&Collect,Card,,,,,,32.68
T00000357,2025-06-14,S013,P00021,4,34.59,1,Online,Card,C011296,M,53.0,Eastern Cape,East London,138.36
T00000363,2025-04-19,S025,P00030,1,1219.37,1,In-Store,EFT,C011977,M,45.0,Mpumalanga,Nelspruit,1219.37
T00000367,2025-01-19,S004,P00246,3,589.23,0,In-Store,Card,C000792,M,16.0,Limpopo,Polokwane,1767.69
T00000370,2025-12-22,S020,P00299,1,70.36,0,In-Store,Card,C004564,F,47.0,Northern Cape,Kimberley,70.36
T00000381,2025-07-11,S018,P00141,1,57.17,0,In-Store,Card,C006894,F,20.0,Free State,Bloemfontein,57.17
T00000383,2025-09-27,S018,P00174,2,1859.99,0,In-Store,Wallet,C002822,F,24.0,North West,Rustenburg,3719.98
T00000384,2025-09-02,S009,P00294,4,623.86,1,In-Store,Card,C008052,M,36.0,Western Cape,Cape Town,2495.44
T00000387,2025-06-24,S012,P00317,4,1026.17,0,In-Store,Cash,C009801,F,41.0,Gauteng,Pretoria,4104.68
T00000397,2025-09-09,S025,P00140,2,465.57,0,Online,Card,,,,,,931.14
T00000399,2025-02-24,S010,P00232,2,1680.9,0,In-Store,Cash,C004352,F,31.0,Free State,Bloemfontein,3361.8
T00000404,2025-05-14,S015,P00193,4,1464.14,0,In-Store,Cash,C009950,M,35.0,Western Cape,Paarl,5856.56
T00000405,2025-01-25,S004,P00324,4,79.91,0,In-Store,Card,C008027,M,16.0,Limpopo,Polokwane,319.64
T00000416,2025-07-04,S015,P00320,2,586.55,0,In-Store,Card,C005793,F,40.0,KwaZulu-Natal,Durban,1173.1
T00000419,2025-10-08,S002,P00097,4,451.93,1,In-Store,Wallet,C004470,F,45.0,North West,Rustenburg,1807.72
T00000429,2025-03-04,S023,P00331,4,136.2,0,In-Store,Card,C000428,M,27.0,Northern Cape,Kimberley,544.8
T00000430,2025-10-09,S016,P00146,3,564.59,1,Online,Card,C001869,F,18.0,KwaZulu-Natal,Pietermaritzburg,1693.77
T00000434,2025-12-06,S008,P00254,4,1271.94,0,In-Store,Card,,,,,,5087.76
T00000439,2025-09-25,S001,P00046,1,543.52,1,Click&Collect,Cash,,,,,,543.52
T00000440,2025-12-28,S012,P00129,4,497.75,0,In-Store,Card,C011863,M,44.0,Mpumalanga,Nelspruit,1991.0
T00000441,2025-05-23,S013,P00165,4,7.79,0,In-Store,Card,C007151,F,36.0,Limpopo,Polokwane,31.16
T00000443,2025-07-14,S007,P00269,2,1460.98,0,In-Store,Card,,,,,,2921.96
T00000448,2025-05-21,S007,P00183,4,471.48,0,In-Store,Cash,C000997,M,37.0,Gauteng,Pretoria,1885.92
T00000449,2025-09-17,S016,P00253,2,31.27,0,In-Store,Card,C003997,F,43.0,Western Cape,Stellenbosch,62.54
T00000450,2025-02-24,S012,P00053,4,1016.25,0,Online,Card,,,,,,4065.0
T00000452,2025-08-17,S011,P00275,3,650.47,0,In-Store,Card,,,,,,1951.41
T00000454,2025-03-23,S013,P00210,3,462.36,0,Online,Card,,,,,,1387.08
T00000458,2025-04-15,S014,P00066,3,1303.12,0,Online,Card,C004121,F,46.0,Mpumalanga,Nelspruit,3909.36
T00000464,2025-04-14,S002,P00052,1,51.65,0,In-Store,Card,C003328,F,50.0,Mpumalanga,Nelspruit,51.65
T00000468,2025-06-24,S017,P00124,1,1107.87,1,Online,EFT,C005160,M,32.0,Mpumalanga,Nelspruit,1107.87
T00000474,2025-12-11,S024,P00072,4,1051.49,0,Online,EFT,C001491,F,45.0,Northern Cape,Kimberley,4205.96
T00000481,2025-02-20,S024,P00011,3,1383.2,0,In-Store,Card,C010698,M,37.0,KwaZulu-Natal,Pietermaritzburg,4149.6
T00000485,2025-03-02,S009,P00242,1,474.48,0,Click&Collect,EFT,C006940,M,34.0,Mpumalanga,Nelspruit,474.48
T00000490,2025-08-04,S001,P00366,4,315.03,0,In-Store,Card,C008280,F,37.0,Mpumalanga,Nelspruit,1260.12
T00000495,2025-10-18,S001,P00091,2,2317.03,0,In-Store,Card,C004648,F,29.0,Eastern Cape,Gqeberha,4634.06
T00000506,2025-11-04,S001,P00180,1,428.86,0,In-Store,Card,C008215,F,42.0,Gauteng,Pretoria,428.86
T00000508,2025-02-24,S016,P00275,4,648.45,0,In-Store,Card,C009327,M,25.0,Eastern Cape,Gqeberha,2593.8
T00000534,2025-04-07,S002,P00361,2,348.9,0,In-Store,EFT,C004513,M,31.0,Western Cape,Cape Town,697.8
T00000536,2025-03-10,S017,P00142,4,689.0,0,In-Store,Card,C006403,F,44.0,Limpopo,Polokwane,2756.0
T00000543,2025-06-06,S007,P00129,4,539.25,0,In-Store,Cash,C002626,M,37.0,North West,Rustenburg,2157.0
T00000544,2025-02-27,S020,P00219,3,1332.34,0,In-Store,Card,C003221,M,18.0,North West,Rustenburg,3997.02
T00000550,2025-05-11,S014,P00098,1,2500.98,0,In-Store,Card,C011059,M,22.0,Limpopo,Polokwane,2500.98
T00000551,2025-05-08,S011,P00339,1,28.37,0,Online,Card,C001918,F,25.0,Free State,Bloemfontein,28.37
T00000554,2025-03-04,S019,P00226,4,450.9,0,Online,Card,,,,,,1803.6
T00000556,2025-09-20,S018,P00012,2,405.78,0,In-Store,Cash,C007938,X,51.0,Western Cape,Paarl,811.56
T00000557,2025-08-30,S017,P00041,4,1204.71,0,In-Store,Card,C007073,M,42.0,Gauteng,Soweto,4818.84
T00000559,2025-06-11,S003,P00026,2,82.57,1,In-Store,Card,,,,,,165.14
T00000564,2025-02-22,S009,P00233,4,38.9,0,In-Store,Cash,C002844,F,25.0,Eastern Cape,East London,155.6
T00000579,2025-07-14,S003,P00203,3,12.89,0,In-Store,Card,C011127,M,43.0,Western Cape,Paarl,38.67
T00000581,2025-07-04,S021,P00062,3,895.3,0,In-Store,Card,C005694,F,35.0,Mpumalanga,Nelspruit,2685.9
T00000585,2025-06-27,S014,P00177,4,1796.37,0,In-Store,Card,C008675,M,31.0,KwaZulu-Natal,Durban,7185.48
T00000589,2025-07-22,S008,P00329,3,170.62,1,In-Store,Cash,C001046,M,22.0,Gauteng,Soweto,511.86
T00000592,2025-06-06,S017,P00203,2,13.5,0,In-Store,Card,C004646,F,27.0,Gauteng,Midrand,27.0
T00000594,2025-03-08,S016,P00203,2,15.04,0,In-Store,Card,C011824,M,31.0,Limpopo,Polokwane,30.08
T00000597,2025-12-23,S012,P00381,4,66.99,0,In-Store,Card,,,,,,267.96
T00000599,2025-09-30,S013,P00105,3,68.69,0,In-Store,EFT,C006315,M,33.0,Western Cape,Paarl,206.07
T00000604,2025-10-28,S014,P00334,1,180.2,0,In-Store,Card,C009705,F,38.0,Free State,Bloemfontein,180.2
T00000610,2025-09-04,S003,P00091,2,2143.81,0,Click&Collect,EFT,C002374,M,16.0,Mpumalanga,Nelspruit,4287.62
T00000612,2025-02-10,S018,P00256,2,76.31,0,Online,Cash,C000322,M,48.0,Free State,Bloemfontein,152.62
T00000619,2025-08-10,S010,P00180,4,369.37,0,In-Store,Cash,C010468,M,42.0,Mpumalanga,Nelspruit,1477.48
T00000627,2025-11-29,S001,P00209,1,540.98,0,In-Store,Wallet,C001923,M,32.0,Eastern Cape,Gqeberha,540.98
T00000633,2025-12-07,S024,P00387,3,508.84,0,In-Store,Cash,C004797,M,26.0,Gauteng,Pretoria,1526.52
T00000635,2025-05-20,S005,P00056,4,649.07,0,Online,Card,C001452,F,18.0,Eastern Cape,East London,2596.28
T00000640,2025-05-25,S006,P00221,2,867.3,1,In-Store,Card,C008676,M,20.0,Western Cape,Stellenbosch,1734.6
T00000641,2025-11-26,S002,P00245,3,98.86,0,In-Store,EFT,C002756,M,47.0,Eastern Cape,Gqeberha,296.58
T00000646,2025-05-16,S018,P00343,4,990.01,1,In-Store,Card,C003238,M,16.0,Free State,Bloemfontein,3960.04
T00000649,2025-05-22,S013,P00254,1,1109.79,0,In-Store,Card,C008384,F,16.0,Mpumalanga,Nelspruit,1109.79
T00000651,2025-04-05,S015,P00190,2,169.78,0,In-Store,Card,C011012,M,51.0,Limpopo,Polokwane,339.56
T00000653,2025-01-28,S006,P00346,2,1442.65,0,In-Store,Cash,C002006,M,21.0,Western Cape,Cape Town,2885.3
T00000662,2025-06-06,S009,P00248,2,424.76,0,In-Store,EFT,C006011,M,27.0,Limpopo,Polokwane,849.52
T00000664,2025-01-31,S001,P00064,3,177.35,0,In-Store,Card,C009692,M,27.0,North West,Rustenburg,532.05
T00000666,2025-07-19,S020,P00343,2,1389.3,0,In-Store,Card,C009716,M,34.0,KwaZulu-Natal,Durban,2778.6
T00000675,2025-03-04,S004,P00007,3,116.71,1,In-Store,Card,C002274,M,42.0,Eastern Cape,Gqeberha,350.13
T00000677,2025-10-30,S022,P00376,3,256.57,0,In-Store,Card,C002604,F,31.0,Western Cape,Stellenbosch,769.71
T00000680,2025-12-15,S001,P00103,2,171.53,0,Click&Collect,Cash,C002003,F,43.0,KwaZulu-Natal,Pietermaritzburg,343.06
T00000681,2025-04-19,S019,P00328,4,2203.49,0,Click&Collect,Cash,,,,,,8813.96
T00000685,2025-04-13,S007,P00173,4,1903.77,0,In-Store,Cash,C002319,M,36.0,Free State,Bloemfontein,7615.08
T00000696,2025-06-19,S011,P00125,3,41.89,0,In-Store,Card,C006686,M,27.0,Eastern Cape,Gqeberha,125.67
T00000698,2025-03-25,S020,P00003,2,1603.29,0,Click&Collect,Card,C004789,M,28.0,Mpumalanga,Nelspruit,3206.58
T00000700,2025-05-15,S013,P00188,3,726.8,0,In-Store,Card,C001350,X,16.0,Eastern Cape,Gqeberha,2180.4
T00000703,2025-07-29,S022,P00049,3,300.5,1,In-Store,Card,C011301,M,47.0,Free State,Bloemfontein,901.5
T00000704,2025-01-06,S001,P00068,4,1543.27,1,In-Store,Card,,,,,,6173.08
T00000707,2025-08-18,S016,P00254,2,1168.43,0,In-Store,EFT,C001805,M,35.0,Western Cape,Cape Town,2336.86
T00000710,2025-11-16,S015,P00365,3,41.68,0,In-Store,Cash,C003141,M,21.0,Limpopo,Polokwane,125.04
T00000713,2025-06-21,S012,P00248,1,440.34,0,In-Store,Cash,C001711,M,31.0,Gauteng,Pretoria,440.34
T00000714,2025-06-22,S019,P00033,3,1765.41,0,Online,Card,C006063,F,47.0,Northern Cape,Kimberley,5296.23
T00000719,2025-04-23,S024,P00210,4,495.95,0,In-Store,Card,C007350,F,42.0,Western Cape,Stellenbosch,1983.8
T00000721,2025-02-15,S003,P00296,2,10.02,0,Online,Card,C001101,M,28.0,KwaZulu-Natal,Pietermaritzburg,20.04
T00000727,2025-09-09,S011,P00211,1,363.83,0,In-Store,Card,C006888,M,37.0,KwaZulu-Natal,Pietermaritzburg,363.83
T00000729,2025-04-11,S011,P00145,2,453.64,0,In-Store,Cash,C005562,M,41.0,Limpopo,Polokwane,907.28
T00000730,2025-02-26,S010,P00099,4,1048.3,0,In-Store,Card,C011017,M,30.0,Mpumalanga,Nelspruit,4193.2
T00000732,2025-11-01,S010,P00111,4,2353.56,0,In-Store,Cash,C004159,M,25.0,Mpumalanga,Nelspruit,9414.24
T00000737,2025-01-02,S012,P00072,1,1377.0,0,Online,Cash,C003321,F,42.0,Limpopo,Polokwane,1377.0
T00000743,2025-01-02,S022,P00155,4,1277.67,0,In-Store,Cash,C000517,F,16.0,Free State,Bloemfontein,5110.68
T00000744,2025-03-26,S016,P00045,1,1027.41,0,In-Store,Wallet,,,,,,1027.41
T00000747,2025-03-03,S008,P00205,2,12.27,0,In-Store,Cash,C009114,M,32.0,Free State,Bloemfontein,24.54
T00000766,2025-12-09,S003,P00263,2,644.97,0,In-Store,Card,C006449,M,17.0,Northern Cape,Kimberley,1289.94
T00000767,2025-10-04,S016,P00118,2,239.55,0,In-Store,Card,,,,,,479.1
T00000769,2025-12-26,S022,P00347,4,867.95,1,In-Store,EFT,,,,,,3471.8
T00000774,2025-12-05,S011,P00186,2,387.36,0,In-Store,Cash,C007688,F,21.0,Limpopo,Polokwane,774.72
T00000780,2025-10-11,S002,P00273,2,171.59,0,In-Store,EFT,C003191,F,27.0,KwaZulu-Natal,Pietermaritzburg,343.18
T00000783,2025-05-21,S019,P00064,4,184.17,0,In-Store,EFT,C005531,F,38.0,Northern Cape,Kimberley,736.68
T00000784,2025-08-28,S019,P00027,3,404.89,1,In-Store,Card,,,,,,1214.67
T00000787,2025-08-14,S005,P00162,4,1280.18,0,In-Store,Card,C005632,M,43.0,Free State,Bloemfontein,5120.72
T00000792,2025-03-04,S020,P00255,4,142.27,0,In-Store,Card,C002591,M,18.0,Mpumalanga,Nelspruit,569.08
T00000796,2025-04-04,S015,P00239,1,523.17,0,In-Store,Card,C004371,F,16.0,North West,Rustenburg,523.17
T00000801,2025-01-12,S009,P00187,2,1489.37,1,In-Store,Cash,C008047,M,29.0,Free State,Bloemfontein,2978.74
T00000804,2025-06-27,S015,P00362,2,46.68,1,In-Store,Wallet,C006865,F,16.0,Eastern Cape,East London,93.36
T00000807,2025-06-27,S019,P00281,4,144.0,0,In-Store,Card,C000169,X,32.0,Limpopo,Polokwane,576.0
T00000809,2025-03-19,S024,P00024,2,35.87,1,In-Store,Wallet,C008088,F,28.0,North West,Rustenburg,71.74
T00000812,2025-06-14,S001,P00072,1,1119.09,1,In-Store,Card,C002022,F,34.0,Mpumalanga,Nelspruit,1119.09
T00000825,2025-04-16,S025,P00079,1,1208.93,0,In-Store,Card,,,,,,1208.93
T00000838,2025-12-19,S003,P00274,3,679.86,0,Click&Collect,Cash,C008045,F,25.0,Eastern Cape,Gqeberha,2039.58
T00000839,2025-10-04,S012,P00243,1,2034.06,0,In-Store,Card,C004535,M,27.0,Free State,Bloemfontein,2034.06
T00000840,2025-08-05,S001,P00374,2,1305.51,0,In-Store,Cash,C005005,M,34.0,Gauteng,Soweto,2611.02
T00000841,2025-01-20,S021,P00143,1,71.8,0,Online,Cash,C010025,M,32.0,Gauteng,Midrand,71.8
T00000842,2025-04-17,S023,P00049,2,272.0,1,Online,Card,,,,,,544.0
T00000843,2025-01-07,S006,P00277,4,1562.65,0,In-Store,Card,C008744,M,39.0,Western Cape,Paarl,6250.6
T00000844,2025-12-19,S002,P00385,3,237.82,0,Online,Card,C005520,M,31.0,KwaZulu-Natal,Durban,713.46
T00000846,2025-12-04,S018,P00234,3,19.14,0,Click&Collect,Wallet,C005624,F,29.0,Limpopo,Polokwane,57.42
T00000848,2025-02-23,S015,P00145,2,427.7,0,In-Store,Card,,,,,,855.4
T00000850,2025-07-04,S007,P00400,3,623.55,0,In-Store,Card,C009677,M,47.0,Western Cape,Stellenbosch,1870.65
T00000851,2025-03-04,S008,P00265,3,130.59,0,Click&Collect,Card,C004874,M,17.0,Limpopo,Polokwane,391.77
T00000854,2025-06-18,S008,P00157,4,47.8,0,Online,Card,C006408,M,16.0,Limpopo,Polokwane,191.2
T00000858,2025-09-03,S017,P00052,2,44.82,0,Click&Collect,Card,C001720,F,20.0,Eastern Cape,Gqeberha,89.64
T00000863,2025-03-23,S004,P00049,4,307.05,0,Click&Collect,Card,C006559,F,38.0,Limpopo,Polokwane,1228.2
T00000864,2025-11-01,S015,P00360,2,519.05,0,In-Store,Card,,,,,,1038.1
T00000865,2025-09-01,S012,P00088,3,1587.87,0,In-Store,Card,C011985,F,16.0,Mpumalanga,Nelspruit,4763.61
T00000867,2025-08-03,S018,P00052,1,52.47,0,Online,Wallet,C002253,M,60.0,North West,Rustenburg,52.47
T00000868,2025-03-13,S025,P00124,1,1297.45,0,Online,Card,C005312,F,56.0,Free State,Bloemfontein,1297.45
T00000871,2025-03-27,S017,P00296,4,11.21,0,In-Store,Card,C008193,M,16.0,North West,Rustenburg,44.84
T00000872,2025-10-28,S013,P00352,4,177.49,0,In-Store,Card,,,,,,709.96
T00000873,2025-03-03,S009,P00038,3,197.78,0,In-Store,Card,,,,,,593.34
T00000874,2025-11-22,S021,P00334,2,150.57,0,In-Store,Cash,C002031,F,32.0,Mpumalanga,Nelspruit,301.14
T00000875,2025-12-16,S017,P00158,4,898.48,0,In-Store,Card,C000462,M,46.0,Limpopo,Polokwane,3593.92
T00000879,2025-09-07,S007,P00284,4,410.3,0,Online,Card,C008336,F,27.0,Eastern Cape,East London,1641.2
T00000880,2025-12-29,S017,P00160,3,59.02,1,Click&Collect,Card,C008825,M,40.0,North West,Rustenburg,177.06
T00000884,2025-11-16,S019,P00230,2,559.25,0,Click&Collect,Card,,,,,,1118.5
T00000886,2025-03-28,S016,P00196,3,209.97,0,In-Store,EFT,,,,,,629.91
T00000887,2025-10-24,S014,P00206,3,18.78,0,In-Store,Card,,,,,,56.34
T00000897,2025-09-09,S021,P00136,1,104.39,0,In-Store,EFT,C000216,F,16.0,KwaZulu-Natal,Durban,104.39
T00000899,2025-07-22,S008,P00031,2,1223.37,0,In-Store,Cash,C007243,F,43.0,Western Cape,Cape Town,2446.74
T00000900,2025-05-02,S002,P00104,1,526.75,0,In-Store,Cash,,,,,,526.75
T00000903,2025-11-28,S011,P00349,3,172.76,0,In-Store,Cash,C008403,M,17.0,Gauteng,Pretoria,518.28
T00000904,2025-07-25,S006,P00266,2,76.32,0,In-Store,EFT,C009162,F,31.0,Eastern Cape,Gqeberha,152.64
T00000908,2025-05-19,S007,P00194,4,86.72,0,In-Store,Card,C009278,M,16.0,North West,Rustenburg,346.88
T00000913,2025-07-26,S006,P00167,4,445.2,1,In-Store,Card,C010104,M,20.0,Eastern Cape,East London,1780.8
T00000918,2025-05-08,S022,P00329,1,202.77,0,In-Store,Card,C002836,F,30.0,Eastern Cape,Gqeberha,202.77
T00000926,2025-05-06,S011,P00343,2,1352.3,0,Online,Cash,C002408,F,21.0,Northern Cape,Kimberley,2704.6
T00000931,2025-07-25,S002,P00328,4,2350.99,0,Online,Cash,C003657,M,25.0,Mpumalanga,Nelspruit,9403.96
